,ppid1,ppid2
1362,P387420,P387417
1363,P387420,P387418
1364,P387420,P387419
1365,P387423,P110010
1366,P387548,P388647
1367,P387548,P388649
1368,P387562,P387568
1369,P387564,P387568
1370,P387568,P387562
1371,P387589,P377629
1372,P387589,P48406
1373,P387591,P229406
1374,P387591,P384402
1375,P387599,P122735
1376,P387599,P405130
1377,P387603,P380556
1378,P387626,P376737
1379,P387630,P389120
1380,P387630,P408017
1381,P387634,P126301
1382,P387634,P279113
1383,P387670,P387671
1384,P387671,P382410
1385,P387671,P387670
1386,P387705,P307909
1387,P387705,P388405
1388,P387709,P129610
1389,P387709,P381810
1390,P387825,P379449
1391,P387825,P406235
1392,P387827,P382936
1393,P387835,P264900
1394,P387835,P289307
1395,P387843,P389120
1396,P387843,P408017
1397,P387845,P389120
1398,P387845,P408017
1399,P387849,P377784
1400,P387849,P395532
1401,P387853,P297134
1402,P387853,P406221
1403,P387885,P377118
1404,P387885,P408661
1405,P387887,P385117
1406,P387887,P387885
1407,P387889,P313009
1408,P387889,P414674
1409,P387906,P389033
1410,P387956,P387594
1411,P387956,P418593
1412,P388013,P398345
1413,P388013,P407323
1414,P388017,P388018
1415,P388017,P388701
1416,P388018,P376287
1417,P388018,P388701
1418,P388019,P377714
1419,P388019,P398737
1420,P388058,P398379
1421,P388061,P199612
1422,P388062,P384108
1423,P388108,P193244
1424,P388108,P210575
1425,P388123,P405016
1426,P388222,P190247
1427,P388225,P410558
1428,P388225,P418593
1429,P388241,P128706
1430,P388241,P310620
1431,P388503,P383914
1432,P388503,P400351
1433,P388505,P383912
1434,P388505,P400353
1435,P388507,P375817
1436,P388509,P375817
1437,P388511,P380610
1438,P388511,P388532
1439,P388532,P388532
1440,P388556,P389512
1441,P388615,P406503
1442,P388616,P292005
1443,P388625,P402071
1444,P388626,P408411
1445,P388627,P402074
1446,P388629,P396733
1447,P388629,P402072
1448,P388629,P402073
1449,P388647,P387548
1450,P388649,P387548
1451,P388664,P270601
1452,P388677,P398627
1453,P388677,P398629
1454,P388682,P388616
1455,P388687,P384792
1456,P388695,P389512
1457,P388696,P389512
1458,P388697,P389512
1459,P388701,P376531
1460,P388701,P377714
1461,P388703,P388705
1462,P388703,P389592
1463,P388705,P388703
1464,P388708,P390987
1465,P388775,P388776
1466,P388953,P388950
1467,P388953,P388952
1468,P389023,P196516
1469,P389027,P196516
1470,P389033,P387906
1471,P389120,P313009
1472,P389120,P414674
1473,P389170,P377784
1474,P389170,P395532
1475,P389185,P377873
1476,P389226,P385364
1477,P389226,P399811
1478,P389512,P388556
1479,P389556,P397380
1480,P389592,P388703
1481,P389809,P380566
1482,P390106,P414226
1483,P390202,P390204
1484,P390204,P390202
1485,P390310,P396821
1486,P390310,P396822
1487,P390324,P393361
1488,P390422,P403974
1489,P390664,P276319
1490,P390664,P276322
1491,P390722,P397883
1492,P390722,P405237
1493,P390724,P173690
1494,P390726,P173690
1495,P390728,P173690
1496,P390961,P394558
1497,P390987,P388708
1498,P391110,P380586
1499,P391305,P313020
1500,P391306,P313026
1501,P391335,P389120
1502,P391335,P408017
1503,P391618,P394357
1504,P391632,P394357
1505,P391633,P394357
1506,P391634,P394357
1507,P391635,P394357
1508,P391636,P394357
1509,P391637,P394357
1510,P391638,P394357
1511,P391639,P394357
1512,P391656,P386135
1513,P391656,P386141
1514,P391759,P403812
1515,P391759,P403813
1516,P391761,P406764
1517,P391765,P382354
1518,P391765,P382355
1519,P391765,P391767
1520,P391767,P382354
1521,P391767,P382355
1522,P391767,P391765
1523,P391790,P264900
1524,P391790,P289307
1525,P391802,P404010
1526,P391918,P387670
1527,P392009,P381000
1528,P392013,P262304
1529,P392018,P392009
1530,P392107,P377714
1531,P392107,P394579
1532,P392128,P392129
1533,P392129,P392128
1534,P392132,P395103
1535,P392135,P383914
1536,P392209,P381793
1537,P392211,P382092
1538,P392234,P392235
1539,P392235,P392234
1540,P392255,P386195
1541,P392255,P396249
1542,P392347,P392346
1543,P392348,P392350
1544,P392349,P392351
1545,P392350,P392348
1546,P392351,P392349
1547,P392352,P392349
1548,P392375,P390664
1549,P392379,P1273
1550,P392379,P264900
1551,P392431,P268212
1552,P392437,P311138
1553,P392458,P392461
1554,P392461,P392458
1555,P392472,P388708
1556,P392500,P392501
1557,P392500,P392502
1558,P392500,P392503
1559,P392501,P392500
1560,P392501,P392502
1561,P392501,P392503
1562,P392502,P392500
1563,P392502,P392501
1564,P392502,P392503
1565,P392503,P392500
1566,P392503,P392501
1567,P392503,P392502
1568,P392516,P289307
1569,P392516,P409239
1570,P392524,P384792
1571,P392600,P379994
1572,P392600,P380017
1573,P392603,P379994
1574,P392603,P379995
1575,P392630,P413431
1576,P392631,P413430
1577,P392707,P193245
1578,P392805,P396310
1579,P392805,P396312
1580,P392827,P392813
1581,P392850,P152703
1582,P392853,P392854
1583,P392854,P374830
1584,P392854,P410552
1585,P392854,P418592
1586,P392911,P414674
1587,P392915,P208012
1588,P392915,P389122
1589,P392945,P384537
1590,P393014,P393809
1591,P393077,P217932
1592,P393077,P54509
1593,P393095,P389120
1594,P393095,P408017
1595,P393097,P389120
1596,P393097,P408017
1597,P393099,P208012
1598,P393099,P389122
1599,P393101,P389120
1600,P393101,P408017
1601,P393103,P385592
1602,P393107,P398311
1603,P393107,P403417
1604,P393113,P208012
1605,P393113,P389122
1606,P393132,P393422
1607,P393132,P410765
1608,P393135,P386818
1609,P393151,P415223
1610,P393167,P415223
1611,P393173,P393167
1612,P393175,P393167
1613,P393266,P414676
1614,P393306,P0732
1615,P393325,P126301
1616,P393325,P409146
1617,P393356,P393357
1618,P393357,P393356
1619,P393361,P390324
1620,P393363,P303303
1621,P393369,P286513
1622,P393369,P407327
1623,P393401,P393402
1624,P393402,P393401
1625,P393402,P393403
1626,P393403,P393402
1627,P393412,P393409
1628,P393412,P393413
1629,P393422,P386781
1630,P393422,P410765
1631,P393430,P393408
1632,P393435,P393723
1633,P393456,P384903
1634,P393456,P393369
1635,P393509,P303303
1636,P393605,P313014
1637,P393632,P393679
1638,P393632,P413261
1639,P393633,P126301
1640,P393633,P393325
1641,P393634,P126301
1642,P393634,P393325
1643,P393658,P377873
1644,P393661,P393662
1645,P393662,P393661
1646,P393664,P393666
1647,P393664,P393668
1648,P393666,P393664
1649,P393668,P393664
1650,P393679,P393632
1651,P393679,P413261
1652,P393722,P254604
1653,P393723,P393435
1654,P393803,P393834
1655,P393809,P393014
1656,P393811,P294101
1657,P393834,P393803
1658,P393847,P376523
1659,P393849,P376523
1660,P393852,P409068
1661,P393853,P409068
1662,P393857,P409068
1663,P393858,P409068
1664,P393859,P409068
1665,P393859,P411840
1666,P393946,P393857
1667,P393946,P409068
1668,P393953,P393961
1669,P393953,P393963
1670,P393954,P404818
1671,P393955,P393952
1672,P393955,P404817
1673,P393962,P393960
1674,P393962,P404818
1675,P393966,P382438
1676,P393986,P389120
1677,P393986,P408661
1678,P393999,P393135
1679,P393999,P394000
1680,P394000,P393135
1681,P394000,P393999
1682,P394116,P388708
1683,P394151,P410811
1684,P394161,P389120
1685,P394161,P408661
1686,P394162,P394167
1687,P394162,P394175
1688,P394164,P394165
1689,P394165,P394164
1690,P394166,P394806
1691,P394166,P407377
1692,P394167,P394162
1693,P394167,P394815
1694,P394168,P394163
1695,P394170,P394171
1696,P394171,P394170
1697,P394172,P394173
1698,P394173,P394172
1699,P394175,P394162
1700,P394175,P394809
1701,P394178,P394177
1702,P394179,P394177
1703,P394227,P409068
1704,P394252,P126301
1705,P394252,P410652
1706,P394502,P384539
1707,P394534,P406908
1708,P394534,P408986
1709,P394549,P394552
1710,P394550,P394552
1711,P394558,P390961
1712,P394579,P377613
1713,P394579,P398331
1714,P394690,P405016
1715,P394805,P394166
1716,P394806,P394166
1717,P394807,P394175
1718,P394808,P394175
1719,P394809,P394175
1720,P394810,P394175
1721,P394811,P394175
1722,P394815,P394167
1723,P394816,P394164
1724,P394817,P394163
1725,P394825,P280513
1726,P394825,P378841
1727,P394825,P378842
1728,P394851,P292005
1729,P394851,P388616
1730,P394854,P59454
1731,P394937,P109908
1732,P394937,P110010
1733,P394937,P151915
1734,P394941,P385317
1735,P394943,P382094
1736,P394945,P12564
1737,P395101,P378034
1738,P395101,P398015
1739,P395103,P389120
1740,P395103,P408017
1741,P395108,P405290
1742,P395126,P217931
1743,P395126,P379510
1744,P395139,P313009
1745,P395139,P404041
1746,P395141,P313009
1747,P395141,P404041
1748,P395159,P382936
1749,P395163,P409800
1750,P395205,P395206
1751,P395230,P392516
1752,P395230,P409239
1753,P395319,P382936
1754,P395327,P129610
1755,P395327,P183916
1756,P395331,P208012
1757,P395331,P389122
1758,P395335,P208012
1759,P395335,P389122
1760,P395337,P208012
1761,P395337,P389122
1762,P395357,P406045
1763,P395359,P384903
1764,P395359,P409002
1765,P395363,P374552
1766,P395409,P395411
1767,P395411,P395409
1768,P395413,P395415
1769,P395415,P395413
1770,P395432,P395438
1771,P395446,P395438
1772,P395446,P395440
1773,P395448,P395438
1774,P395448,P395440
1775,P395524,P122735
1776,P395524,P400708
1777,P395526,P395337
1778,P395532,P408604
1779,P395553,P389120
1780,P395553,P408661
1781,P395637,P183919
1782,P395640,P392810
1783,P395641,P392811
1784,P395697,P297710
1785,P395697,P377724
1786,P395719,P306883
1787,P395728,P410554
1788,P395728,P418593
1789,P395770,P388766
1790,P395772,P388770
1791,P395776,P388764
1792,P395905,P385477
1793,P395907,P395905
1794,P396003,P396005
1795,P396005,P396003
1796,P396021,P378111
1797,P396034,P382936
1798,P396240,P377821
1799,P396240,P396238
1800,P396240,P408966
1801,P396240,P418204
1802,P396249,P382079
1803,P396249,P386793
1804,P396250,P385261
1805,P396279,P396285
1806,P396285,P396279
1807,P396308,P4095
1808,P396310,P392805
1809,P396312,P392805
1810,P396409,P382431
1811,P396413,P313009
1812,P396413,P404041
1813,P396521,P61005
1814,P396521,P61009
1815,P396522,P307010
1816,P396523,P375289
1817,P396524,P61009
1818,P396526,P253810
1819,P396527,P61003
1820,P396601,P387548
1821,P396640,P396642
1822,P396640,P396644
1823,P396640,P396646
1824,P396642,P396640
1825,P396644,P396640
1826,P396646,P396640
1827,P396648,P396640
1828,P396720,P396721
1829,P396721,P396720
1830,P396721,P409068
1831,P396723,P409068
1832,P396726,P409068
1833,P396733,P388629
1834,P396733,P402072
1835,P396733,P402073
1836,P396734,P388625
1837,P396734,P402071
1838,P396747,P392235
1839,P396748,P392235
1840,P396822,P390310
1841,P396826,P396824
1842,P396908,P396914
1843,P396910,P396914
1844,P396912,P396914
1845,P396914,P396908
1846,P396914,P396910
1847,P397044,P397045
1848,P397045,P397044
1849,P397059,P391992
1850,P397102,P397115
1851,P397105,P397116
1852,P397106,P397263
1853,P397107,P397116
1854,P397109,P397114
1855,P397110,P397102
1856,P397111,P397116
1857,P397112,P397102
1858,P397113,P397116
1859,P397115,P397112
1860,P397116,P397105
1861,P397119,P397104
1862,P397120,P397263
1863,P397207,P397212
1864,P397208,P397215
1865,P397214,P395385
1866,P397215,P397208
1867,P397217,P397891
1868,P397217,P410523
1869,P397340,P264900
1870,P397340,P408311
1871,P397344,P1273
1872,P397344,P289307
1873,P397380,P278610
1874,P397383,P111902
1875,P397401,P266812
1876,P397401,P374552
1877,P397407,P276319
1878,P397407,P409800
1879,P397423,P385398
1880,P397423,P9889
1881,P397498,P384060
1882,P397502,P397514
1883,P397506,P313026
1884,P397508,P313026
1885,P397514,P397502
1886,P397517,P387589
1887,P397517,P410500
1888,P397519,P387589
1889,P397615,P397617
1890,P397617,P397615
1891,P397671,P398803
1892,P397719,P383912
1893,P397836,P380615
1894,P397836,P408465
1895,P397836,P416702
1896,P397849,P397850
1897,P397850,P397849
1898,P397868,P378111
1899,P397883,P385669
1900,P397883,P397881
1901,P397885,P397886
1902,P397886,P397885
1903,P397887,P378015
1904,P397887,P378016
1905,P397890,P405016
1906,P397891,P397217
1907,P397891,P410523
1908,P397901,P397902
1909,P397902,P397901
1910,P397913,P398663
1911,P398007,P286513
1912,P398007,P393369
1913,P398009,P403328
1914,P398009,P414674
1915,P398011,P379509
1916,P398011,P414226
1917,P398013,P414226
1918,P398015,P407323
1919,P398015,P414676
1920,P398019,P398015
1921,P398019,P414226
1922,P398021,P414226
1923,P398023,P409030
1924,P398023,P414234
1925,P398082,P409800
1926,P398082,P414677
1927,P398126,P397397
1928,P398321,P382427
1929,P398321,P404037
1930,P398331,P377714
1931,P398331,P394579
1932,P398335,P389120
1933,P398335,P408017
1934,P398339,P208012
1935,P398339,P389122
1936,P398341,P389120
1937,P398341,P408017
1938,P398343,P389120
1939,P398343,P408017
1940,P398353,P276319
1941,P398353,P276322
1942,P398357,P230701
1943,P398371,P384673
1944,P398379,P388058
1945,P398401,P405057
1946,P398403,P405057
1947,P398414,P122735
1948,P398414,P122912
1949,P398415,P122735
1950,P398415,P122912
1951,P398417,P410559
1952,P398418,P410559
1953,P398419,P284716
1954,P398419,P418593
1955,P398532,P398534
1956,P398534,P398532
1957,P398537,P398538
1958,P398538,P398537
1959,P398540,P208012
1960,P398540,P389122
1961,P398556,P208012
1962,P398556,P389122
1963,P398558,P208012
1964,P398558,P389122
1965,P398613,P387616
1966,P398615,P387616
1967,P398627,P398629
1968,P398629,P398627
1969,P398637,P398906
1970,P398663,P397913
1971,P398673,P375939
1972,P398673,P398675
1973,P398675,P375939
1974,P398675,P398673
1975,P398719,P398819
1976,P398735,P244437
1977,P398736,P398735
1978,P398737,P394579
1979,P398737,P409070
1980,P398755,P398757
1981,P398757,P398755
1982,P398775,P393965
1983,P398795,P12430
1984,P398795,P380552
1985,P398803,P397671
1986,P398803,P398947
1987,P398819,P398719
1988,P398831,P398832
1989,P398832,P398831
1990,P398848,P398850
1991,P398850,P398848
1992,P398905,P122735
1993,P398905,P403817
1994,P398906,P398637
1995,P398908,P398909
1996,P398909,P398908
1997,P398911,P228914
1998,P398911,P379449
1999,P398927,P386725
2000,P398941,P398434
2001,P398941,P398949
2002,P398947,P398803
2003,P398949,P398434
2004,P398949,P398941
2005,P398965,P398967
2006,P398965,P398969
2007,P398967,P398965
2008,P398969,P398965
2009,P398969,P398967
2010,P398969,P398969
2011,P398971,P398965
2012,P398971,P398967
2013,P398971,P398969
2014,P398973,P398965
2015,P398973,P398967
2016,P398973,P398969
2017,P398973,P398975
2018,P398975,P398965
2019,P398975,P398967
2020,P398975,P398969
2021,P398975,P398973
2022,P398985,P399015
2023,P398996,P398995
2024,P399008,P399010
2025,P399012,P399015
2026,P399112,P398831
2027,P399112,P398832
2028,P399118,P399119
2029,P399118,P399120
2030,P399119,P399118
2031,P399119,P399120
2032,P399120,P399118
2033,P399120,P399119
2034,P399128,P395768
2035,P399130,P395766
2036,P399232,P122735
2037,P399232,P122868
2038,P399326,P404918
2039,P399332,P399333
2040,P399333,P399332
2041,P399335,P399336
2042,P399335,P399337
2043,P399336,P399335
2044,P399336,P399337
2045,P399337,P399335
2046,P399337,P399336
2047,P399348,P392117
2048,P399352,P399667
2049,P399352,P402686
2050,P399506,P393857
2051,P399506,P409068
2052,P399508,P393857
2053,P399508,P409068
2054,P399609,P399611
2055,P399667,P399352
2056,P399667,P402686
2057,P399681,P398844
2058,P399703,P393857
2059,P399703,P409068
2060,P399736,P174626
2061,P399736,P214002
2062,P399737,P399740
2063,P399737,P399743
2064,P399738,P399741
2065,P399738,P399744
2066,P399739,P399742
2067,P399739,P399745
2068,P399740,P399737
2069,P399740,P399743
2070,P399741,P399738
2071,P399741,P399744
2072,P399742,P399739
2073,P399742,P399745
2074,P399743,P399737
2075,P399743,P399740
2076,P399744,P399738
2077,P399744,P399741
2078,P399745,P399739
2079,P399745,P399742
2080,P399752,P382354
2081,P399752,P382355
2082,P399754,P382356
2083,P399754,P386380
2084,P399755,P281835
2085,P399755,P281837
2086,P399761,P375720
2087,P399811,P385364
2088,P399811,P389226
2089,P399812,P313009
2090,P399831,P382936
2091,P399831,P384640
2092,P399914,P313020
2093,P399933,P399934
2094,P399934,P399933
2095,P399982,P388688
2096,P399982,P388689
2097,P399993,P399994
2098,P399994,P399993
2099,P400004,P400005
2100,P400004,P400006
2101,P400005,P400004
2102,P400005,P400006
2103,P400006,P400004
2104,P400006,P400005
2105,P400016,P400017
2106,P400017,P400016
2107,P400057,P400059
2108,P400057,P400061
2109,P400059,P400057
2110,P400061,P400057
2111,P400102,P400103
2112,P400102,P400104
2113,P400103,P400102
2114,P400103,P400104
2115,P400104,P400102
2116,P400104,P400103
2117,P400172,P270544
2118,P400172,P401774
2119,P400209,P400210
2120,P400210,P400209
2121,P400212,P386195
2122,P400214,P396090
2123,P400252,P400253
2124,P400253,P400252
2125,P400280,P396090
2126,P400316,P0847
2127,P400318,P0847
2128,P400351,P383914
2129,P400351,P388503
2130,P400353,P383912
2131,P400353,P388505
2132,P400504,P289307
2133,P400504,P413171
2134,P400506,P409030
2135,P400506,P414234
2136,P400510,P414226
2137,P400556,P401154
2138,P400558,P401154
2139,P400560,P401154
2140,P400600,P261211
2141,P400600,P397915
2142,P400608,P400609
2143,P400608,P400610
2144,P400609,P400608
2145,P400609,P400610
2146,P400610,P400608
2147,P400610,P400609
2148,P400625,P270566
2149,P400625,P397613
2150,P400664,P208012
2151,P400664,P389122
2152,P400703,P400704
2153,P400704,P400703
2154,P400706,P122735
2155,P400706,P399232
2156,P400708,P122735
2157,P400708,P410815
2158,P400821,P255506
2159,P400888,P400908
2160,P400888,P400921
2161,P400889,P400908
2162,P400890,P400899
2163,P400891,P400899
2164,P400892,P400904
2165,P400893,P400904
2166,P400894,P400907
2167,P400896,P400907
2168,P400909,P400907
2169,P400910,P400901
2170,P400912,P400900
2171,P400913,P400903
2172,P400915,P400905
2173,P400921,P400907
2174,P400960,P385341
2175,P400960,P399326
2176,P401103,P313025
2177,P401133,P388976
2178,P401158,P398721
2179,P401163,P401161
2180,P401163,P401162
2181,P401164,P401161
2182,P401164,P401162
2183,P401165,P401161
2184,P401166,P401161
2185,P401166,P401162
2186,P401167,P401162
2187,P401239,P398840
2188,P401266,P401268
2189,P401268,P401266
2190,P401401,P401402
2191,P401401,P401403
2192,P401402,P401401
2193,P401402,P401403
2194,P401426,P396409
2195,P401445,P401463
2196,P401445,P401466
2197,P401459,P401464
2198,P401463,P401445
2199,P401463,P401466
2200,P401464,P401459
2201,P401505,P379925
2202,P401505,P391917
2203,P401606,P389330
2204,P401606,P392607
2205,P401607,P309226
2206,P401608,P247716
2207,P401715,P249814
2208,P401715,P408604
2209,P401771,P418593
2210,P401774,P400172
2211,P401784,P382936
2212,P401818,P400783
2213,P401820,P400783
2214,P402036,P266812
2215,P402036,P374552
2216,P402071,P388625
2217,P402072,P388629
2218,P402072,P396733
2219,P402072,P402073
2220,P402073,P388629
2221,P402073,P396733
2222,P402073,P402072
2223,P402074,P388627
2224,P402537,P402539
2225,P402538,P313009
2226,P402539,P401175
2227,P402607,P396824
2228,P402622,P400608
2229,P402622,P400610
2230,P402686,P399352
2231,P402704,P394177
2232,P402716,P413429
2233,P402730,P388264
2234,P402738,P392235
2235,P402929,P402931
2236,P402931,P402929
2237,P402942,P402943
2238,P402942,P402944
2239,P402943,P402942
2240,P402943,P402944
2241,P402944,P402942
2242,P402944,P402943
2243,P402987,P403809
2244,P403318,P398379
2245,P403319,P397825
2246,P403319,P403320
2247,P403320,P397825
2248,P403320,P403319
2249,P403322,P415921
2250,P403324,P389120
2251,P403324,P409030
2252,P403328,P393986
2253,P403328,P398009
2254,P403407,P297134
2255,P403407,P406221
2256,P403409,P313026
2257,P403409,P377122
2258,P403411,P389120
2259,P403411,P404041
2260,P403413,P276331
2261,P403417,P409008
2262,P403417,P414220
2263,P403433,P385606
2264,P403626,P389120
2265,P403626,P393986
2266,P403628,P384903
2267,P403628,P403632
2268,P403632,P384903
2269,P403632,P403628
2270,P403707,P289307
2271,P403707,P392516
2272,P403742,P392810
2273,P403743,P392811
2274,P403748,P217512
2275,P403754,P289307
2276,P403754,P408218
2277,P403800,P403815
2278,P403804,P229406
2279,P403804,P309706
2280,P403804,P417316
2281,P403805,P269020
2282,P403806,P387034
2283,P403806,P403807
2284,P403807,P403806
2285,P403808,P403806
2286,P403809,P402987
2287,P403811,P270549
2288,P403811,P410001
2289,P403812,P391759
2290,P403812,P403813
2291,P403813,P391759
2292,P403813,P403812
2293,P403815,P403800
2294,P403944,P313012
2295,P403944,P54438
2296,P403949,P378014
2297,P403949,P397887
2298,P403974,P270539
2299,P403974,P383334
2300,P404010,P391802
2301,P404037,P398321
2302,P404039,P379529
2303,P404041,P389120
2304,P404041,P408017
2305,P404043,P389120
2306,P404043,P408017
2307,P404047,P136216
2308,P404047,P403632
2309,P404091,P122735
2310,P404091,P403817
2311,P404106,P378017
2312,P404106,P411611
2313,P404107,P393662
2314,P404107,P404106
2315,P404163,P389120
2316,P404163,P408017
2317,P404229,P389120
2318,P404229,P408017
2319,P404231,P389120
2320,P404231,P408017
2321,P404238,P304704
2322,P404240,P292403
2323,P404240,P398371
2324,P404247,P380704
2325,P404247,P403806
2326,P404251,P388405
2327,P404269,P389120
2328,P404269,P408661
2329,P404294,P404286
2330,P404296,P404286
2331,P404302,P404354
2332,P404302,P404356
2333,P404306,P404302
2334,P404306,P404308
2335,P404306,P404312
2336,P404308,P404302
2337,P404308,P404360
2338,P404310,P404302
2339,P404310,P404308
2340,P404310,P404312
2341,P404312,P404302
2342,P404312,P404310
2343,P404331,P6430
2344,P404338,P218700
2345,P404342,P404343
2346,P404343,P404342
2347,P404354,P404358
2348,P404356,P404358
2349,P404358,P404354
2350,P404360,P404302
2351,P404360,P404308
2352,P404465,P395389
2353,P404468,P126301
2354,P404468,P393634
2355,P404479,P393986
2356,P404479,P414674
2357,P404495,P264900
2358,P404495,P409239
2359,P404613,P290636
2360,P404613,P295206
2361,P404615,P264900
2362,P404615,P290636
2363,P404706,P404708
2364,P404708,P404706
2365,P404710,P236816
2366,P404710,P404712
2367,P404712,P236816
2368,P404712,P404710
2369,P404716,P381155
2370,P404716,P414226
2371,P404721,P109908
2372,P404721,P110010
2373,P404721,P299223
2374,P404722,P268212
2375,P404735,P404736
2376,P404736,P404735
2377,P404756,P410811
2378,P404758,P410810
2379,P404766,P397615
2380,P404766,P405083
2381,P404766,P418329
2382,P404768,P218431
2383,P404768,P397617
2384,P404776,P382432
2385,P404789,P404801
2386,P404790,P405109
2387,P404793,P404795
2388,P404793,P410176
2389,P404794,P404801
2390,P404794,P410176
2391,P404795,P410176
2392,P404795,P411508
2393,P404796,P410176
2394,P404797,P404798
2395,P404797,P404799
2396,P404798,P404797
2397,P404798,P404799
2398,P404799,P404797
2399,P404799,P411508
2400,P404800,P410176
2401,P404801,P404789
2402,P404803,P404789
2403,P404805,P404789
2404,P404806,P387849
2405,P404807,P405108
2406,P404808,P405108
2407,P404809,P393961
2408,P404809,P404813
2409,P404825,P377873
2410,P404829,P266812
2411,P404829,P374552
2412,P404832,P406575
2413,P404833,P386335
2414,P404912,P393281
2415,P404918,P399326
2416,P404929,P394809
2417,P404931,P392348
2418,P405013,P405016
2419,P405033,P403743
2420,P405038,P405039
2421,P405039,P405038
2422,P405041,P385437
2423,P405057,P303109
2424,P405057,P307909
2425,P405057,P388405
2426,P405059,P379922
2427,P405059,P405061
2428,P405059,P406567
2429,P405061,P405059
2430,P405081,P397615
2431,P405081,P404766
2432,P405083,P218431
2433,P405083,P397615
2434,P405083,P406814
2435,P405098,P405103
2436,P405101,P405102
2437,P405102,P405101
2438,P405102,P405598
2439,P405105,P410176
2440,P405109,P404790
2441,P405113,P407931
2442,P405130,P122735
2443,P405130,P384996
2444,P405137,P404728
2445,P405138,P404728
2446,P405139,P404728
2447,P405140,P404728
2448,P405141,P404728
2449,P405142,P404728
2450,P405143,P404728
2451,P405144,P404728
2452,P405169,P264900
2453,P405169,P290636
2454,P405202,P270801
2455,P405202,P59405
2456,P405207,P294101
2457,P405208,P122735
2458,P405208,P400708
2459,P405225,P405073
2460,P405231,P183916
2461,P405231,P405231
2462,P405237,P390722
2463,P405237,P410771
2464,P405261,P405265
2465,P405261,P405267
2466,P405265,P405261
2467,P405267,P405261
2468,P405269,P405497
2469,P405290,P395108
2470,P405292,P405293
2471,P405293,P405292
2472,P405294,P404795
2473,P405294,P410176
2474,P405298,P405299
2475,P405299,P405298
2476,P405497,P405269
2477,P405505,P405511
2478,P405511,P405505
2479,P405519,P389120
2480,P405519,P405525
2481,P405521,P389120
2482,P405521,P405519
2483,P405523,P389120
2484,P405523,P405525
2485,P405525,P389120
2486,P405525,P405519
2487,P405527,P313026
2488,P405527,P389120
2489,P405529,P276329
2490,P405529,P405531
2491,P405531,P389120
2492,P405531,P408661
2493,P405533,P408661
2494,P405533,P409002
2495,P405537,P393363
2496,P405537,P403409
2497,P405555,P290636
2498,P405580,P405581
2499,P405581,P405580
2500,P405597,P405598
2501,P405598,P405102
2502,P405598,P405597
2503,P405602,P379449
2504,P405602,P406235
2505,P405802,P122735
2506,P405802,P400708
2507,P405808,P397923
2508,P405809,P405600
2509,P405809,P406578
2510,P405829,P393402
2511,P405829,P405833
2512,P406001,P377714
2513,P406001,P416218
2514,P406003,P403944
2515,P406003,P54400
2516,P406004,P406011
2517,P406004,P407668
2518,P406005,P406006
2519,P406005,P406009
2520,P406006,P406005
2521,P406006,P406010
2522,P406008,P406012
2523,P406008,P406534
2524,P406009,P406005
2525,P406009,P406010
2526,P406010,P406005
2527,P406010,P406006
2528,P406010,P406537
2529,P406011,P406012
2530,P406011,P407668
2531,P406012,P406016
2532,P406012,P406600
2533,P406014,P406018
2534,P406014,P406019
2535,P406015,P406005
2536,P406015,P406009
2537,P406016,P406012
2538,P406016,P406600
2539,P406017,P406019
2540,P406018,P406014
2541,P406019,P406014
2542,P406019,P406017
2543,P406023,P385592
2544,P406043,P389120
2545,P406043,P408017
2546,P406045,P385596
2547,P406045,P385695
2548,P406049,P382399
2549,P406053,P290636
2550,P406053,P295206
2551,P406059,P313009
2552,P406059,P404041
2553,P406080,P417312
2554,P406101,P380574
2555,P406101,P403958
2556,P406101,P40576
2557,P406214,P406215
2558,P406214,P406216
2559,P406215,P406214
2560,P406215,P406217
2561,P406216,P406214
2562,P406216,P406217
2563,P406217,P406214
2564,P406217,P406216
2565,P406219,P406223
2566,P406219,P410156
2567,P406221,P276331
2568,P406221,P408904
2569,P406223,P286029
2570,P406254,P378169
2571,P406281,P269020
2572,P406282,P406283
2573,P406286,P406287
2574,P406287,P406286
2575,P406401,P406503
2576,P406521,P406522
2577,P406522,P406521
2578,P406526,P406527
2579,P406527,P406526
2580,P406534,P406541
2581,P406534,P406542
2582,P406535,P406536
2583,P406535,P406542
2584,P406536,P406540
2585,P406536,P406541
2586,P406537,P406539
2587,P406537,P406541
2588,P406538,P406541
2589,P406539,P406535
2590,P406539,P406540
2591,P406540,P406535
2592,P406540,P406539
2593,P406541,P406536
2594,P406541,P406539
2595,P406542,P406540
2596,P406550,P406551
2597,P406551,P406550
2598,P406552,P406553
2599,P406553,P406552
2600,P406567,P405059
2601,P406567,P405061
2602,P406569,P313009
2603,P406569,P414674
2604,P406576,P395101
2605,P406576,P406574
2606,P406577,P404830
2607,P406577,P404831
2608,P406578,P405809
2609,P406600,P406542
2610,P406617,P407180
2611,P406618,P407051
2612,P406621,P406627
2613,P406625,P406629
2614,P406627,P401602
2615,P406627,P406621
2616,P406629,P406625
2617,P406632,P392854
2618,P406655,P388708
2619,P406657,P406658
2620,P406658,P406657
2621,P406659,P406660
2622,P406660,P406659
2623,P406661,P406662
2624,P406662,P406661
2625,P406663,P406664
2626,P406664,P406663
2627,P406722,P255506
2628,P406731,P379449
2629,P406731,P406235
2630,P406733,P228914
2631,P406733,P379449
2632,P406751,P407876
