ppid,brand,stars,category
P405537,Sephora Collection,4.0606,Tools & Brushes:Makeup Brushes & Applicators:Makeup Brush Sets
P69718,Philosophy,4.6586,Bath & Body:Bath & Shower:Body Wash & Shower Gel
P417232,Jo Malone London,5.0,Fragrance:Candles & Home Scents
P133401,Dior,4.5807,Fragrance:Women:Perfume
P377676,Tocca,3.4211,Bath & Body:Body Moisturizers:Hand Cream & Foot Cream
P394171,Surratt Beauty,3.5,Makeup:Eye:Eyebrow
P267814,Shiseido,4.543,Makeup:Eye:Mascara
P404728,Bareminerals,4.4136,Skincare:Treatments:Face Serums
P38264,Philosophy,4.561,Bath & Body:Bath & Shower:Body Wash & Shower Gel
P380674,Laura Mercier,2.9333,Bath & Body:Body Moisturizers:Hand Cream & Foot Cream
P385358,Maison Margiela,4.2037,Fragrance:Women:Perfume
P416420,Yves Saint Laurent,4.2,Makeup:Eye:Eyeshadow
P409028,Sephora Collection,3.9812,Makeup:Eye:Eye Primer
P398015,Sephora Collection,3.9498,Makeup:Face:Highlighter
P384885,Sephora Collection,4.1941,Tools & Brushes:Makeup Brushes & Applicators:Eye Brushes
P379527,Sephora Collection,4.2115,Tools & Brushes:Makeup Brushes & Applicators:Eye Brushes
P415986,Burberry,4.6197,Makeup:Lip:Lipstick
P380603,Dolce&Gabbana,5.0,Fragrance:Women:Lotions & Oils
P394806,Surratt Beauty,5.0,Makeup:Brushes & Applicators:Eye Brushes
P398927,Buxom,4.2676,Makeup:Lip:Lipstick
P402072,Briogeo,4.156,Hair:Shampoo & Conditioner:Shampoo
P122722,Clinique,4.4942,Makeup:Lip:Lipstick
P417231,Jo Malone London,0.0,Fragrance:Candles & Home Scents
P240604,Bareminerals,4.385,Makeup:Face:Foundation
P375259,T3,4.6,Hair:Hair Tools:Hair Accessories
P404091,Clinique,3.4,Makeup:Eye:Eyeshadow
P411600,Kevyn Aucoin,3.9851,Makeup:Face:Foundation
P410498,Madison Reed,5.0,Hair:Shampoo & Conditioner:Conditioner
P384877,Sephora Collection,3.208,Makeup:Eye:Eyeliner
P407055,Madam C.J. Walker Beauty Culture,4.3333,Hair:Hair Styling & Treatments:Hair Styling Products
P402071,Briogeo,4.1802,Hair:Shampoo & Conditioner:Shampoo
P398973,Aerin,0.0,Bath & Body:Bath & Shower:Scrub & Exfoliants
P310714,Sephora Collection,3.8967,Makeup:Lip:Lipstick
P412556,Natasha Denona,1.0,Makeup:Eye:Mascara
P398335,Sephora Collection,4.1212,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P410224,Sachajuan,0.0,Hair:Shampoo & Conditioner:Conditioner
P414680,Nails Inc.,4.4286,Makeup:Nail:Nail Polish
P397890,Origins,4.615,Skincare:Masks:Face Masks
P394227,Ciaté London,4.0,Makeup:Lip:Lip Gloss
P401162,T3,3.2692,Hair:Hair Tools:Curling Irons
P410661,Wildfox,4.0244,Fragrance:Women:Perfume
P380556,Giorgio Armani Beauty,4.0,Fragrance:Women:Lotions & Oils
P416788,Urban Decay,3.1655,Makeup:Lip:Lipstick
P419469,Kevyn Aucoin,5.0,Makeup:Lip:Lipstick
P254713,Clinique,4.2232,Makeup:Eye:Mascara
P375909,Bobbi Brown,3.7867,Makeup:Face:Foundation
P394116,Clinique,4.9,Skincare:High Tech Tools:Cleansing
P415772,Origins,4.4583,Skincare:Cleansers:Face Wash & Cleansers
P379987,Benefit Cosmetics,4.4096,Makeup:Cheek:Blush
P407058,Madam C.J. Walker Beauty Culture,4.0968,Hair:Hair Styling & Treatments:Hair Oil
P388018,Cover Fx,3.5263,Makeup:Face:Face Primer
P407436,Becca,4.515,Makeup:Cheek:Blush
P223807,Marc Jacobs Fragrances,4.5682,Fragrance:Women:Perfume
P392128,Kat Von D,4.1472,Makeup:Brushes & Applicators:Face Brushes
P404302,Clean,4.25,Fragrance:Women:Perfume
P406629,Bobbi Brown,3.4286,Tools & Brushes:Makeup Brushes & Applicators:Eye Brushes
P412582,Sephora Collection,4.1667,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P411834,Natasha Denona,4.5385,Makeup:Eye:Eyeshadow
P400353,Elizabeth And James,4.336,Hair:Shampoo & Conditioner:Dry Shampoo
P122765,Clinique,4.2963,Makeup:Eye:Eyeliner
P411886,It Cosmetics,3.9206,Makeup:Face:Setting Spray & Powder
P404343,Glamglow,4.2284,Skincare:Lip Treatments:Lip Balms & Treatments
P228100,Smashbox,4.3729,Makeup:Face:Foundation
P308201,Lancôme,4.4052,Makeup:Face:Foundation
P394579,Cover Fx,3.7807,Makeup:Face:Foundation
P410535,Hourglass,4.7273,Makeup:Brushes & Applicators:Face Brushes
P407057,Madam C.J. Walker Beauty Culture,4.0714,Hair:Hair Styling & Treatments:Scalp & Hair Treatments
P407489,Rahua,3.7143,Hair:Shampoo & Conditioner:Conditioner
P404813,Kevyn Aucoin,4.25,Makeup:Face:Face Primer
P379994,Estée Lauder,4.4089,Skincare:Treatments:Face Serums
P406283,Anastasia Beverly Hills,4.3571,Makeup:Brushes & Applicators:Eye Brushes
P381033,Bumble And Bumble,4.1503,Hair:Hair Styling & Treatments:Hair Spray
P386783,Anastasia Beverly Hills,4.1171,Makeup:Eye:Eyebrow
P377803,Viktor & Rolf,4.51,Fragrance:Women:Body Mist & Hair Mist
P402622,Caudalie,3.7045,Skincare:Moisturizers:Moisturizers
P411547,Ciaté London,4.0645,Makeup:Eye:Mascara
P292508,Alterna Haircare,3.7826,Hair:Shampoo & Conditioner:Conditioner
P299223,Laura Mercier,4.1069,Makeup:Face:Face Primer
P417708,Nest,0.0,Fragrance:Women:Bath & Shower
P393965,Make Up For Ever,3.6343,Makeup:Face:Face Primer
P400704,Devacurl,4.122,Hair:Shampoo & Conditioner:Conditioner
P392234,Tatcha,4.3401,Skincare:Cleansers:Exfoliators
P394179,Surratt Beauty,3.45,Makeup:Lip:Lipstick
P409733,Nest,5.0,Fragrance:Candles & Home Scents
P417218,Jo Malone London,0.0,Fragrance:Candles & Home Scents
P380704,Marc Jacobs Beauty,4.0984,Makeup:Eye:Eye Palettes
P122767,Clinique,4.0774,Skincare:Lip Treatments:Lip Balms & Treatments
P218431,Yves Saint Laurent,4.3451,Makeup:Face:Concealer
P380827,Tarte,4.4922,Makeup:Brushes & Applicators:Face Brushes
P195321,Dolce&Gabbana,4.6017,Fragrance:Women:Perfume
P398343,Sephora Collection,4.5714,Tools & Brushes:Makeup Brushes & Applicators:Makeup Brush Sets
P302942,Peter Thomas Roth,3.8095,Skincare:Eye Care:Eye Creams & Treatments
P408034,Kat Von D,4.3252,Makeup:Lip:Lip Sets
P412584,Sephora Collection,4.6,Hair:Hair Tools:Hair Brushes & Combs
P272008,Benefit Cosmetics,4.271,Makeup:Face:Highlighter
P270545,Bobbi Brown,4.4055,Makeup:Face:Highlighter
P410301,Prada,4.3462,Fragrance:Women:Perfume
P417906,Tarte,4.2288,Makeup:Eye:Eye Palettes
P48696122,Tory Burch,,
P313025,Sephora Collection,4.5167,Makeup:Brushes & Applicators:Eye Brushes
P386112,Tria,4.3333,Skincare:Treatments:Face Serums
P403949,Ren,0.0,Bath & Body:Bath & Shower:Scrub & Exfoliants
P415653,Rms Beauty,3.7,Makeup:Eye:Eyeshadow
P303109,Bite Beauty,3.185,Makeup:Lip:Lip Balm & Treatment
P273416,Nars,4.3216,Makeup:Lip:Lipstick
P380637,Philosophy,4.5556,Fragrance:Women:Lotions & Oils
P270598,Bobbi Brown,3.6667,Makeup:Brushes & Applicators:Eye Brushes
P406662,Ouai,4.0,Hair:Shampoo & Conditioner:Conditioner
P380541,Donna Karan,4.5697,Fragrance:Women:Bath & Shower
P415990,Tarte,4.25,Makeup:Eye:Eyeliner
P410003,Sephora Collection,4.1067,Makeup:Eye:False Eyelashes
P411529,Wander Beauty,4.4333,Makeup:Face:Foundation
P409044,Marc Jacobs Beauty,4.6886,Makeup:Cheek:Blush
P400909,Black Up,3.7083,Makeup:Face:Concealer
P405292,Milk Makeup,1.9844,Makeup:Accessories:Makeup Removers
P397208,Klorane,4.3333,Hair:Shampoo & Conditioner:Conditioner
P403742,Foreo,5.0,Skincare:High Tech Tools:Teeth Whitening
P394690,Origins,3.5385,Skincare:Masks:Face Masks
P378006,Peter Thomas Roth,4.1667,Hair:Shampoo & Conditioner:Conditioner
P407108,Wander Beauty,4.2222,Makeup:Eye:Eyeliner
P404797,Milk Makeup,4.2647,Makeup:Cheek:Bronzer
P408509,Deborah Lippmann,4.2,Makeup:Nail:Nail Sets
P375131,Hermès,4.1,Fragrance:Women:Perfume
P380581,Narciso Rodriguez,4.375,Fragrance:Women:Lotions & Oils
P410176,Milk Makeup,3.947,Makeup:Face:Foundation
P269705,Alterna Haircare,4.2969,Hair:Shampoo & Conditioner:Shampoo
P382356,Kate Somerville,3.9808,Skincare:Moisturizers:Moisturizers
P407902,Sephora Collection,4.9688,Tools & Brushes:Accessories:Mirrors & Sharpeners
P408414,Alterna Haircare,3.4,Hair:Hair Styling & Treatments:Scalp & Hair Treatments
P415987,Urban Decay,3.979,Makeup:Face:Face Primer
P410235,Sachajuan,5.0,Hair:Hair Styling & Treatments:Scalp & Hair Treatments
P398615,Clinique,3.4783,Skincare:Eye Care:Eye Creams & Treatments
P384539,First Aid Beauty,4.2321,Skincare:Cleansers:Face Wash & Cleansers
P307909,Bite Beauty,3.6841,Makeup:Lip:Lip Balm & Treatment
P414674,Sephora Collection,5.0,Makeup:Brushes & Applicators:Face Brushes
P395335,Sephora Collection,4.6081,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P237500,Make Up For Ever,4.3706,Makeup:Eye:Eyeshadow
P393853,Ciaté London,3.2353,Makeup:Face:Highlighter
P416355,Kevyn Aucoin,5.0,Makeup:Brushes & Applicators:Face Brushes
P382125,Lancôme,3.5669,Skincare:Treatments:Face Serums
P406657,Ouai,3.8302,Hair:Shampoo & Conditioner:Shampoo
P385721,Sephora Collection,3.6538,Tools & Brushes:Accessories:Makeup & Travel Cases
P384815,Philosophy,4.3333,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P408218,Benefit Cosmetics,4.3527,Makeup:Eye:Eyebrow
P306004,Benefit Cosmetics,3.9,Makeup:Brushes & Applicators:Face Brushes
P411831,Natasha Denona,4.449,Makeup:Face:Highlighter
P386615,Sephora Collection,4.0955,Makeup:Eye:Eyeshadow
P417202,Jo Malone London,4.0,Fragrance:Women:Lotions & Oils
P398403,Bite Beauty,4.1,Makeup:Lip:Lip Gloss
P419504,Givenchy,0.0,Makeup:Face:Setting Spray & Powder
P110113,Narciso Rodriguez,4.5749,Fragrance:Women:Perfume
P398906,Lancôme,4.95,Makeup:Brushes & Applicators:Eye Brushes
P393456,Sephora Collection,3.892,Makeup:Eye:Eyebrow
P402686,Bvlgari,0.0,Fragrance:Women:Lotions & Oils
P74520,Too Faced,3.7456,Makeup:Lip:Lip Plumper
P413343,Klorane,0.0,Hair:Shampoo & Conditioner:Conditioner
P380538,Mugler,4.5714,Fragrance:Women:Lotions & Oils
P394558,Cinema Secrets,3.5417,Tools & Brushes:Makeup Brushes & Applicators:Brush Cleaners
P398832,Philosophy,3.7,Skincare:Eye Care:Eye Creams & Treatments
P390961,Cinema Secrets,4.2938,Makeup:Brushes & Applicators:Brush Cleaners
P403407,Sephora Collection,4.2143,Makeup:Nail:Manicure & Pedicure Tools
P385751,Tarte,3.8182,Makeup:Brushes & Applicators:Eye Brushes
P410557,Urban Decay,4.0,Makeup:Brushes & Applicators:Eye Brushes
P402537,Chosungah 22,4.1,Makeup:Face:Foundation
P309704,Bobbi Brown,3.7395,Makeup:Eye:Eyeliner
P395327,Givenchy,3.9306,Makeup:Lip:Lipstick
P402607,Velour Silk Lashes,3.64,Makeup:Eye:False Eyelashes
P410251,Bareminerals,2.5,Makeup:Brushes & Applicators:Lip Brushes
P411035,Urban Decay,3.9249,Makeup:Eye:Eyeliner
P418596,Urban Decay,5.0,Makeup:Lip:Lip Balm & Treatment
P417217,Jo Malone London,0.0,Fragrance:Women:Lotions & Oils
P385169,Clean,4.3077,Fragrance:Women:Perfume
P417203,Jo Malone London,0.0,Fragrance:Women:Bath & Shower
P228914,Beautyblender,4.0766,Makeup:Brushes & Applicators:Brush Cleaners
P218202,Yves Saint Laurent,4.3137,Makeup:Lip:Lip Liner
P384660,Drybar,4.3099,Hair:Shampoo & Conditioner:Conditioner
P398911,Beautyblender,2.8574,Makeup:Accessories:Blotting Papers
P408604,Sephora Collection,4.0229,Makeup:Lip:Lipstick
P408312,Benefit Cosmetics,4.0,Makeup:Eye:Eyebrow
P224300,Dolce&Gabbana,4.7602,Fragrance:Men:Cologne
P399508,Ciaté London,4.2466,Makeup:Eye:Eyeliner
P404806,Milk Makeup,4.5794,Makeup:Eye:Eyebrow
P400004,Phyto,4.3191,Hair:Shampoo & Conditioner:Leave-In Conditioner
P398558,Sephora Collection,4.0588,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P381207,Hourglass,3.7521,Makeup:Lip:Lipstick
P397502,Buxom,4.6512,Makeup:Eye:Eyeshadow
P400017,Nudestix,3.8864,Makeup:Eye:Eyebrow
P418019,Pretty Vulgar,0.0,Makeup:Eye:Eye Palettes
P270562,Bobbi Brown,4.5267,Makeup:Accessories:Makeup Removers
P409641,Sweat Cosmetics,4.25,Makeup:Face:Setting Spray & Powder
P378287,Estée Lauder,4.325,Makeup:Face:Foundation
P403754,Benefit Cosmetics,3.8054,Makeup:Face:Highlighter
P414234,Sephora Collection,5.0,Makeup:Brushes & Applicators:Eye Brushes
P416816,Olehenriksen,4.5422,Skincare:Cleansers:Toners
P415983,Bite Beauty,4.75,Makeup:Lip:Lipstick
P400318,Bvlgari,5.0,Fragrance:Women:Lotions & Oils
P387705,Bite Beauty,4.5825,Makeup:Lip:Lipstick
P402942,Slip,3.3846,Skincare:High Tech Tools:Anti-Aging
P380625,Hermès,0.0,Fragrance:Men:Bath & Shower
P404010,Dr. Brandt Skincare,3.6644,Skincare:Masks:Face Masks
P392379,Benefit Cosmetics,3.5616,Skincare:Eye Care:Eye Creams & Treatments
P410302,Prada,5.0,Fragrance:Women:Perfume
P409956,Urban Decay,3.562,Makeup:Eye:Eyeliner
P409362,The Estée Edit,4.1875,Makeup:Face:Highlighter
P411403,It Cosmetics,4.6339,Skincare:Moisturizers:Moisturizers
P405808,Kat Von D,3.2464,Makeup:Eye:Eye Primer
P174626,Ren,4.2629,Skincare:Cleansers:Face Wash & Cleansers
P49706,Philosophy,4.5388,Fragrance:Women:Perfume
P377630,Too Faced,4.4634,Makeup:Eye:Eye Palettes
P402944,Slip,4.4308,Skincare:High Tech Tools:Anti-Aging
P217909,Lancôme,4.5772,Skincare:Cleansers:Face Wash & Cleansers
P158043,Lancôme,4.3293,Skincare:Moisturizers:Moisturizers
P380580,Narciso Rodriguez,3.5714,Fragrance:Women:Lotions & Oils
P409242,Benefit Cosmetics,4.1389,Makeup:Eye:Eyebrow
P280519,Bumble And Bumble,4.0172,Hair:Shampoo & Conditioner:Shampoo
P110409,Too Faced,4.479,Makeup:Cheek:Bronzer
P403743,Foreo,4.4286,Skincare:High Tech Tools:Teeth Whitening
P382933,Estée Lauder,3.7692,Makeup:Lip:Lip Liner
P409012,Sephora Collection,4.3636,Tools & Brushes:Accessories:Makeup & Travel Cases
P381810,Givenchy,4.4794,Makeup:Face:Foundation
P280513,Bumble And Bumble,3.6386,Hair:Hair Styling & Treatments:Hair Styling Products
P414993,Tarte,4.4088,Makeup:Makeup Palettes
P408038,Burberry,5.0,Fragrance:Men:Body Sprays & Deodorant
P387074,Fresh,3.5217,Hair:Shampoo & Conditioner:Shampoo
P398637,Lancôme,4.5135,Makeup:Eye:Eyebrow
P397045,Gloss Moderne,4.5,Hair:Shampoo & Conditioner:Conditioner
P411827,Natasha Denona,5.0,Makeup:Eye:Eye Palettes
P418834,Yves Saint Laurent,0.0,Makeup:Face:Highlighter
P42318,Olehenriksen,4.7147,Skincare:Cleansers:Exfoliators
P229406,Too Faced,4.6648,Makeup:Cheek:Bronzer
P406005,The Estée Edit,3.6304,Makeup:Eye:Mascara
P408973,Rms Beauty,4.3165,Makeup:Face:Highlighter
P72503,Fresh,3.9333,Fragrance:Women:Perfume
P391319,Nars,4.2,Makeup:Brushes & Applicators:Eye Brushes
P416156,Make Up For Ever,4.6754,Makeup:Lip:Liquid Lipstick
P301802,Hourglass,4.0199,Makeup:Face:Foundation
P381315,Sephora Collection,4.0495,Skincare:High Tech Tools:Cleansing
P292412,Smashbox,4.1616,Skincare:Treatments:Face Serums
P401466,Christophe Robin,3.75,Hair:Hair Styling & Treatments:Hair Styling Products
P393361,Clarisonic,4.7273,Tools & Brushes:High Tech Tools:Cleansing
P388615,Nails Inc.,4.2587,Makeup:Nail:Nail Polish
P410204,Phyto,5.0,Hair:Hair Styling & Treatments:Hair Masks
P384842,Fresh,4.3824,Fragrance:Women:Lotions & Oils
P396726,Ciaté London,4.8889,Makeup:Eye:Eyeshadow
P283905,Bite Beauty,4.3368,Makeup:Lip:Lipstick
P408125,Say Hello To Sexy Legs,5.0,Makeup:Body & Camouflage Makeup
P398969,Aerin,3.6667,Fragrance:Women:Bath & Shower
P380621,Dior,4.5714,Fragrance:Women:Lotions & Oils
P296898,Clarisonic,4.6845,Skincare:High Tech Tools:Cleansing
P406552,Keranique,4.2857,Hair:Shampoo & Conditioner:Shampoo
P416368,Tarte,4.5,Makeup:Cheek:Cheek Palettes
P99809,Tarte,4.6147,Makeup:Cheek:Bronzer
P410515,Make Up For Ever,4.8182,Makeup:Lip:Lip Liner
P399754,Kate Somerville,4.1429,Skincare:Treatments:Face Serums
P54450,Lancôme,4.3254,Makeup:Eye:Mascara
P54419,Lancôme,4.3944,Makeup:Face:Foundation
P407321,Sephora Collection,2.9012,Makeup:Lip:Lip Plumper
P399752,Dr. Jart+,4.4493,Skincare:Moisturizers:Moisturizers
P417257,Sephora Collection,4.3333,Makeup:Brushes & Applicators:Sponges & Applicators
P417709,Nest,0.0,Fragrance:Women:Bath & Shower
P377528,Sephora Collection,4.7447,Makeup:Brushes & Applicators:Face Brushes
P417196,Jo Malone London,0.0,Fragrance:Women:Lotions & Oils
P386500,Pinch Provisions,3.6667,Tools & Brushes:Value & Gift Sets
P403811,Bobbi Brown,3.9322,Makeup:Face:Concealer
P378859,Nars,4.3903,Makeup:Lip:Lipstick
P409523,Urban Decay,4.4356,Makeup:Lip:Lipstick
P409076,Sephora Collection,4.375,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P409926,Viktor & Rolf,0.0,Men:Shaving:Shaving
P384792,Fresh,4.1122,Fragrance:Women:Perfume
P416771,Guerlain,4.0,Makeup:Lip:Lip Stain
P294006,Koh Gen Do,4.3269,Makeup:Face:Foundation
P393952,Kevyn Aucoin,3.8,Makeup:Brushes & Applicators:Face Brushes
P399933,Estée Lauder,4.7143,Skincare:Masks:Face Masks
P396524,Bareminerals,4.9,Makeup:Brushes & Applicators:Face Brushes
P410552,Urban Decay,4.1739,Makeup:Brushes & Applicators:Face Brushes
P313042,Sephora Collection,,
P388687,Fresh,3.5455,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P405103,Tarte,3.7385,Makeup:Face:Color Correct
P291430,Sephora Collection,4.3439,Makeup:Cheek:Blush
P395139,Sephora Collection,3.1667,Tools & Brushes:Accessories:Makeup & Travel Cases
P413523,Natasha Denona,3.8689,Makeup:Eye:Eye Palettes
P386781,Givenchy,3.0469,Makeup:Eye:Eyeliner
P380627,Hermès,4.2,Fragrance:Men:Body Sprays & Deodorant
P12662,Make Up For Ever,4.3769,Makeup:Face:Setting Spray & Powder
P413677,Tom Ford,5.0,Fragrance:Women:Perfume
P401602,Bobbi Brown,4.1903,Makeup:Face:Highlighter
P406663,Ouai,4.0,Hair:Shampoo & Conditioner:Shampoo
P411714,Tom Ford,5.0,Men:Shaving:Aftershave
P404801,Milk Makeup,4.0102,Makeup:Lip:Lipstick
P393097,Sephora Collection,4.6667,Makeup:Eye:Eyebrow
P289307,Benefit Cosmetics,4.1494,Makeup:Eye:Mascara
P389023,Mugler,4.6667,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P415710,Clinique,3.8333,Skincare:Moisturizers:Moisturizers
P392107,Cover Fx,3.9622,Makeup:Face:Face Primer
P296439,Living Proof,4.194,Hair:Shampoo & Conditioner:Shampoo
P306829,Marc Jacobs Fragrances,4.6,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P398673,Lancôme,5.0,Fragrance:Women:Bath & Shower
P403319,Tata Harper,3.9167,Makeup:Face:Highlighter
P406551,Keranique,3.4,Hair:Shampoo & Conditioner:Conditioner
P380539,Donna Karan,4.8,Fragrance:Women:Lotions & Oils
P401268,Calvin Klein,2.0,Fragrance:Men:Body Sprays & Deodorant
P412321,Blendsmart,5.0,Makeup:Brushes & Applicators:Face Brushes
P395772,Aerin,5.0,Bath & Body:Body Moisturizers
P397514,Buxom,4.5526,Makeup:Eye:Eyeshadow
P407048,Madam C.J. Walker Beauty Culture,3.3,Hair:Shampoo & Conditioner:Shampoo
P385121,Sephora Collection,3.7028,Makeup:Eye:Eyeliner
P400896,Black Up,4.2778,Makeup:Lip:Lipstick
P400212,Supergoop!,4.8824,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P185818,Lancôme,4.4342,Skincare:Moisturizers:Moisturizers
P395438,Michael Kors,4.4722,Fragrance:Women:Perfume
P414678,Sephora Collection,3.0,Makeup:Brushes & Applicators:Eye Brushes
P384066,Too Faced,4.8379,Makeup:Brushes & Applicators:Face Brushes
P396005,Make Up For Ever,3.8861,Makeup:Cheek:Bronzer
P393074,Shiseido,3.9263,Skincare:Sun Care:Body Sunscreen
P63087456,Tarte,,
P313013,Sephora Collection,2.8411,Makeup:Brushes & Applicators:Face Brushes
P263504,Urban Decay,4.3878,Makeup:Face:Setting Spray & Powder
P408904,Sephora Collection,4.4502,Bath & Body:Body Moisturizers:Hand Cream & Foot Cream
P375713,Montblanc,4.8304,Fragrance:Men:Cologne
P404306,Clean,4.2,Fragrance:Women:Perfume
P45606,Fresh,4.3276,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P416352,Kevyn Aucoin,3.6667,Makeup:Face:Face Primer
P404338,Josie Maran,4.1014,Skincare:Moisturizers:Moisturizers
P385569,Sephora Collection,4.0,Hair:Hair Tools:Hair Brushes & Combs
P275309,Tarte,4.0259,Tools & Brushes:Accessories:Eyelash Curlers
P231040,Hourglass,4.3088,Makeup:Brushes & Applicators:Face Brushes
P375817,Atelier Cologne,4.1054,Fragrance:Women:Perfume
P406655,Clinique,5.0,Skincare:High Tech Tools:Cleansing
P377404,Alterna Haircare,4.6021,Hair:Shampoo & Conditioner:Conditioner
P416055,Becca,4.3768,Makeup:Face:Face Primer
P412088,Moroccanoil,5.0,Hair:Shampoo & Conditioner:Conditioner
P405511,Philosophy,3.3333,Fragrance:Women:Perfume
P310720,Sephora Collection,3.4213,Makeup:Face:Setting Spray & Powder
P411833,Natasha Denona,4.0,Makeup:Eye:Eyeshadow
P407668,The Estée Edit,4.1842,Makeup:Cheek:Bronzer
P416524,Milk Makeup,3.5799,Makeup:Face:Face Primer
P416545,Nails Inc.,4.1667,Makeup:Nail:Nail Sets
P393962,Kevyn Aucoin,4.5306,Makeup:Cheek:Bronzer
P411887,It Cosmetics,4.0,Skincare:Sun Care:Face Sunscreen
P397850,Sally Hershberger 24K,4.625,Hair:Shampoo & Conditioner:Conditioner
P378029,Bobbi Brown,4.3636,Makeup:Face:Setting Spray & Powder
P417255,Sephora Collection,5.0,Makeup:Brushes & Applicators:Sponges & Applicators
P400703,Devacurl,4.1818,Hair:Shampoo & Conditioner:Shampoo
P284718,Urban Decay,4.3278,Makeup:Eye:Eye Primer
P312915,Sephora Collection,4.3342,Skincare:Moisturizers:Moisturizers
P405225,Guerlain,5.0,Makeup:Face:Setting Spray & Powder
P284701,Smashbox,3.9758,Makeup:Eye:Mascara
P382345,Boscia,4.206,Skincare:High Tech Tools:Cleansing
P405602,Beautyblender,4.2426,Makeup:Brushes & Applicators:Sponges & Applicators
P407473,Blendsmart,4.25,Makeup:Brushes & Applicators:Face Brushes
P380622,Dior,5.0,Fragrance:Women:Lotions & Oils
P417339,Natasha Denona,0.0,Makeup:Eye:Under-Eye Concealer
P290636,Benefit Cosmetics,4.5427,Makeup:Cheek:Bronzer
P392135,Elizabeth And James,4.1364,Fragrance:Women:Perfume
P382537,Sephora Collection,4.2381,Makeup:Brushes & Applicators:Face Brushes
P402074,Briogeo,4.3913,Hair:Shampoo & Conditioner:Shampoo
P385626,Sephora Collection,4.8636,Tools & Brushes:Accessories:Makeup & Travel Cases
P388689,Jurlique,4.25,Skincare:Moisturizers:Moisturizers
P264506,Issey Miyake,4.8627,Fragrance:Women:Perfume
P396733,Briogeo,4.2926,Hair:Shampoo & Conditioner:Leave-In Conditioner
P410808,Algenist,4.0769,Skincare:Treatments:Face Serums
P394163,Surratt Beauty,4.2966,Makeup:Accessories:Eyelash Curlers
P409239,Benefit Cosmetics,4.3816,Makeup:Eye:Eyebrow
P417904,Tarte,3.8889,Makeup:Eye:Mascara
P404831,Anastasia Beverly Hills,3.8921,Makeup:Lip:Lipstick
P410771,Givenchy,4.0714,Makeup:Face:Setting Spray & Powder
P400209,Herbivore,3.7241,Skincare:Lip Treatments:Lip Balms & Treatments
P387630,Sephora Collection,3.8276,Makeup:Brushes & Applicators:Brush Sets
P415652,Rms Beauty,4.6667,Makeup:Face:Setting Spray & Powder
P404809,Kevyn Aucoin,4.3125,Makeup:Face:Foundation
P417345,Natasha Denona,4.5,Makeup:Lip:Lip Liner
P388405,Bite Beauty,4.3222,Makeup:Accessories:Makeup Removers
P417882,Smashbox,5.0,Makeup:Eye:Eyeliner
P410486,Igk,3.7,Hair:Shampoo & Conditioner:Shampoo
P397836,Viktor & Rolf,4.4028,Fragrance:Women:Perfume
P392607,Peter Thomas Roth,3.4421,Skincare:Masks:Face Masks
P273404,Bareminerals,4.0508,Makeup:Brushes & Applicators:Face Brushes
P394170,Surratt Beauty,5.0,Makeup:Eye:Eyebrow
P209445,Smashbox,4.7249,Makeup:Cheek:Bronzer
P388677,Bareminerals,3.8171,Makeup:Face:Foundation
P408508,Deborah Lippmann,1.8333,Makeup:Nail:Nail Sets
P381729,Bite Beauty,4.0714,Makeup:Brushes & Applicators:Lip Brushes
P401607,Clinique,4.4667,Skincare:Cleansers:Toners
P407053,Madam C.J. Walker Beauty Culture,4.5556,Hair:Shampoo & Conditioner:Conditioner
P406751,Nails Inc.,1.9087,Makeup:Nail:Nail Polish
P404766,Yves Saint Laurent,4.5,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P173619,Shiseido,4.446,Skincare:Eye Care:Eye Masks
P193245,Hourglass,4.5952,Makeup:Brushes & Applicators:Eye Brushes
P414226,Sephora Collection,4.5,Makeup:Brushes & Applicators:Face Brushes
P303302,Sephora Collection,4.1978,Makeup:Eye:Eyeliner
P305114,Clinique,3.9977,Makeup:Eye:Eyeliner
P406808,Smashbox,2.6,Tools & Brushes:Makeup Brushes & Applicators:Makeup Brush Sets
P418802,Kat Von D,4.2857,Makeup:Lip:Lip Sets
P418024,Omorovicza,5.0,Skincare:Cleansers:Face Wash & Cleansers
P419101,Givenchy,5.0,Makeup:Cheek:Bronzer
P122670,Clinique,4.3915,Makeup:Eye:Mascara
P410482,Igk,4.0,Hair:Shampoo & Conditioner:Shampoo
P403813,Tarte,4.3719,Makeup:Eye:Eye Palettes
P280573,Bumble And Bumble,4.278,Hair:Shampoo & Conditioner:Conditioner
P394550,Dermablend,3.8039,Makeup:Face:Foundation
P122868,Clinique,4.3759,Makeup:Eye:Eyebrow
